,unique_id,district,pesticide,year,season,crop,field_latitude,field_longitude,plot_hectares,pest_disease,yield_kg_ph
86,d865ede1,Mugonero,1.0,2019,b season,potato,-2.2810340210627,29.3699472956761,0.0200000014156103,1.0,1444.4435
87,68132db4,Gatsibo,0.0,2019,b season,potato,-1.73652942774359,30.3452029727799,0.0315000005066395,0.0,6111.1069
88,51da81ed,Mugonero,0.0,2019,b season,potato,-2.2254214,29.3488572,0.0350000001490116,1.0,9861.1035
89,9b34775a,Karongi,0.0,2019,b season,potato,-2.2405089,29.451296,0.0400000028312206,1.0,13888.879
90,e376166f,Gatsibo,0.0,2019,b season,potato,-1.63180469717783,30.3680907335563,0.202500000596047,0.0,9444.4385
91,fd0893d1,Mugonero,1.0,2019,b season,potato,-2.28817970519143,29.3591165811374,0.017000000923872,1.0,18166.654
92,a021a3c6,Nyagatare,0.0,2019,b season,potato,-1.31894528844061,30.3682284183577,0.0230000000447035,0.0,1799.9989
93,76b27320,Gatsibo,0.0,2019,b season,potato,-1.6643384,30.3289944,0.0300000011920929,1.0,3333.3308
94,bb400963,Gatsibo,0.0,2019,b season,potato,-1.63162169409085,30.3678559818827,0.319099992513657,0.0,11666.658
95,38be761e,Nyagatare,0.0,2019,b season,potato,-1.27388197757817,30.3588579481417,0.100000001490116,0.0,17388.877
96,dd54c505,Gatsibo,0.0,2019,b season,potato,-1.5917836,30.353381,0.0500000007450581,0.0,2888.887
97,20c72c78,Gatsibo,0.0,2019,b season,potato,-1.59455992115257,30.5114065520288,0.115599997341633,1.0,9999.9941
98,c8fb809e,Mugonero,1.0,2019,b season,potato,-2.33944414298646,29.3922582974164,0.0300000011920929,1.0,8888.8828
99,fe4e570b,Nyagatare,0.0,2019,b season,potato,-1.3751758,30.2525348,0.100000001490116,0.0,15999.989
100,7804f3c9,Gatsibo,0.0,2019,b season,potato,-1.68314070444736,30.3907041965929,0.225600004196167,0.0,8888.8828
101,87c96087,Nyagatare,0.0,2019,b season,potato,-1.27927687759621,30.2614969959353,0.120000004768372,0.0,1944.4431
102,e2ad9f47,Karongi,0.0,2019,b season,potato,-2.2387326,29.4561328,0.0200000014156103,1.0,0.0
103,5027d774,Rutsiro,1.0,2019,b season,potato,-1.96775380997808,29.5092487429426,0.025000000372529,1.0,2249.9983
104,20f207a2,Rutsiro,1.0,2019,b season,potato,-1.91351766511874,29.4432107019489,0.0300000011920929,1.0,8194.4385
105,a1ea738e,Rutsiro,1.0,2019,b season,potato,-1.9507664977489,29.5066156878154,0.0400000028312206,1.0,3472.2197
106,33914163,Rutsiro,1.0,2019,b season,potato,-1.93037155796974,29.4454983205428,0.0150000005960464,1.0,2416.6648
107,977b1049,Gatsibo,0.0,2019,b season,potato,-1.7364419476825,30.3576170392726,0.0516999997198582,0.0,4833.3301
108,c39771db,Gatsibo,0.0,2019,b season,potato,-1.6020491,30.3858828,0.150000005960465,1.0,5555.5513
109,70d5aa5c,Karongi,0.0,2019,b season,potato,-2.2128827,29.4420984,0.0200000014156103,1.0,5199.9966
110,049b0705,Gatsibo,0.0,2019,b season,potato,-1.70010142791494,30.3486134443655,0.112199999392033,0.0,15499.989
111,ade25993,Mugonero,1.0,2019,b season,potato,-2.33307635363201,29.3908447169318,0.0300000011920929,1.0,14194.436
112,f05e2330,Gatsibo,0.0,2019,b season,potato,-1.6738638,30.4064135,0.129999995231628,1.0,2277.7761
113,6f822178,Rutsiro,0.0,2019,b season,potato,-1.83966938990108,29.3762830254315,0.0600000023841858,0.0,0.0
114,6b482850,Mugonero,1.0,2019,b season,potato,-2.32308319694093,29.389724389045,0.0200000014156103,1.0,14611.101
115,e838f682,Rubengera,0.0,2019,b season,potato,-2.0300188,29.4589659,0.0350000001490116,0.0,21666.652
116,9629ed4f,Gatsibo,0.0,2019,b season,potato,-1.6244222,30.3823797,0.100000001490116,0.0,3222.22
117,48ea83c7,Rutsiro,1.0,2016,a season,potato,-1.92319576927582,29.4828140451946,0.03000283613801,1.0,9266.6592
118,f5c2f901,Rubengera,1.0,2016,a season,potato,-2.00328357517719,29.4943209271878,0.03000283613801,0.0,7999.9946
119,e9ae9e69,LWH East,0.0,2016,b season,potato,-2.02271752950125,30.3296177474914,0.0900085121393204,0.0,3999.9973
120,0c6f0262,LWH East,0.0,2016,b season,potato,-2.00907699272978,30.3051686678237,0.015001418069005,0.0,5399.9966
121,fc53d709,Karongi,0.0,2016,b season,potato,-2.06361710093916,29.5033648330718,0.0200018901377916,0.0,2999.998
122,7d01be31,Kayonza,0.0,2016,b season,potato,-2.02325931793119,30.6526842262323,0.0400037802755833,0.0,7399.9956
123,e037dcea,Rutsiro,1.0,2016,b season,potato,-1.97120379111461,29.4589015601319,0.0450042560696602,1.0,3199.998
124,d499989c,LWH West,1.0,2016,b season,potato,-2.03070932557435,29.4873733006621,0.0120011353865266,0.0,5599.9966
125,ab6b55f2,Rutsiro,1.0,2016,b season,potato,-1.9118794636883,29.4273123273961,0.0450042560696602,0.0,10999.992
126,94c26fb5,LWH East,1.0,2016,b season,potato,-1.97690274853527,30.2956537107805,0.0600056722760201,0.0,11199.993
127,fc9a0718,Karongi,0.0,2016,b season,potato,-2.06474061124027,29.5015931501985,0.0250023640692234,0.0,4399.9971
128,196f5d14,Rutsiro,1.0,2016,b season,potato,-1.93636828040282,29.4375110593062,0.0250023640692234,1.0,11399.992
129,da457f29,Gatsibo,0.0,2016,b season,potato,-1.62097509815405,30.312271203965,0.0200018901377916,0.0,5599.9966
130,4d9fea88,LWH East,0.0,2016,b season,potato,-2.0063744267217,30.3467892711316,0.0200018901377916,0.0,2799.9983
131,c05e3ed0,Mugonero,1.0,2016,b season,potato,-2.21324868693065,29.3584371401694,0.0250023640692234,0.0,10399.993
132,1cea0129,LWH East,0.0,2016,b season,potato,-2.00886117819564,30.2824099289207,0.0600056722760201,0.0,1999.9987
133,49febef9,Kayonza,0.0,2016,b season,potato,-2.02653422000828,30.6352731955316,0.100009456276894,0.0,1999.9987
134,fe22a342,Rutsiro,1.0,2016,b season,potato,-1.93537374035791,29.4414102633429,0.03000283613801,1.0,999.99933
135,34735729,LWH East,1.0,2016,b season,potato,-1.97715789879589,30.3003212566358,0.0600056722760201,1.0,5199.9966
136,4ac9bb8e,LWH East,0.0,2016,b season,potato,-1.98408439820398,30.3227445112337,0.0260024592280388,1.0,2599.9983
137,d3a34dfa,Rutsiro,1.0,2016,b season,potato,-1.93584051660194,29.4425325304097,0.0200018901377916,0.0,3399.9978
138,e5e46a35,Rutsiro,1.0,2016,b season,potato,-1.92952562839282,29.4437859101345,0.0550052002072334,1.0,1999.9987
139,0db15cb2,LWH East,0.0,2016,b season,potato,-2.00638302742152,30.2772689182117,0.0200018901377916,1.0,3599.9978
140,05e2d614,LWH East,0.0,2016,b season,potato,-2.01103272724231,30.281983568211,0.0600056722760201,0.0,4399.9971
141,ed80b0d9,Kayonza,0.0,2016,b season,potato,-2.01952228428309,30.6490874668336,0.03000283613801,0.0,799.99951
142,2d16855e,LWH East,0.0,2016,b season,potato,-2.05582021248387,30.3405479886575,0.015001418069005,0.0,8799.9941
143,ba79dec4,LWH East,0.0,2016,b season,potato,-2.01412762398682,30.2796740070529,0.0250023640692234,0.0,3999.9973
144,cddef9d0,Mugonero,1.0,2016,b season,potato,-2.21320796712104,29.3585861770815,0.0250023640692234,0.0,9799.9941
145,fa7d50da,Karongi,1.0,2016,b season,potato,-2.00391142163426,29.5049892459065,0.0600056722760201,0.0,24599.982
146,429bb990,LWH East,0.0,2016,b season,potato,-2.01922673876428,30.3346758560035,0.03000283613801,0.0,1699.9989
147,ae40e96f,Mugonero,1.0,2016,b season,potato,-2.20474668805929,29.3227811324919,0.0183017309755087,0.0,3399.9978
148,9c03ab47,Rutsiro,1.0,2016,b season,potato,-1.93028382934105,29.4700840577964,0.0250023640692234,1.0,6399.9961
149,43f7b4d0,Mugonero,1.0,2016,b season,potato,-2.21793284281082,29.3545958424408,0.0108010219410062,0.0,14199.99
150,943eeb59,Mugonero,0.0,2016,b season,potato,-2.21077308040027,29.3521936937815,0.0640060529112816,1.0,14899.99
151,3d41997d,LWH East,1.0,2016,b season,potato,-2.07612017176336,30.324675528276,0.015001418069005,0.0,999.99933
152,cf495fa8,LWH East,0.0,2016,b season,potato,-2.05773329035738,30.3519519058678,0.0200018901377916,1.0,12999.991
153,9858be03,Gatsibo,0.0,2016,b season,potato,-1.66854457254352,30.2714750044963,0.0800075605511665,0.0,3599.9978
154,aacae5b3,Mugonero,0.0,2016,b season,potato,-2.21003738029797,29.3354928973238,0.027002552524209,0.0,11999.992
155,7068c73a,Mugonero,0.0,2016,b season,potato,-2.20859828558495,29.3312711644342,0.0330031216144562,0.0,6599.9956
156,bac03ad8,LWH East,0.0,2016,b season,potato,-2.00451612833976,30.3312029751432,0.0500047281384468,1.0,3230.926
157,8c3ec264,Rutsiro,1.0,2016,b season,potato,-1.9345677998043,29.4430548619848,0.015001418069005,0.0,3999.9973
158,abb6afa5,Mugonero,1.0,2016,b season,potato,-2.21759666495792,29.3534288585312,0.0288027264177799,0.0,6822.2173
159,196d1d37,LWH East,0.0,2016,b season,potato,-2.05712134157269,30.3272055611916,0.0900085121393204,0.0,1823.0443
160,5917b550,Mugonero,1.0,2016,b season,potato,-2.21301165199047,29.3552898344299,0.0100009450688958,0.0,10199.994
161,9e89eb0d,Karongi,1.0,2016,b season,potato,-2.00174105353653,29.5035462174565,0.150014191865921,0.0,4199.9971
162,d642ebc7,Rutsiro,1.0,2016,b season,potato,-1.92362589139351,29.4838998226783,0.0700066238641739,0.0,5399.9966
163,2e173b5b,Rutsiro,0.0,2016,b season,potato,-1.98544700516962,29.4446548715194,0.0550052002072334,0.0,7399.9956
164,7019a176,LWH East,0.0,2016,b season,potato,-2.05665189757499,30.3546113658442,0.0600056722760201,0.0,99.999939
165,58af8282,LWH East,1.0,2016,b season,potato,-2.09137031353534,30.2950959626265,0.0200018901377916,0.0,1199.9993
166,998331bf,Karongi,1.0,2016,b season,potato,-2.00327527709305,29.5055303815752,0.0500047281384468,0.0,12999.991
167,497edbc2,LWH East,0.0,2016,b season,potato,-2.00554403770858,30.2798432160653,0.0600056722760201,0.0,2199.9985
168,b8a8ab2b,Mugonero,1.0,2019,a season,potato,-2.34380342826027,29.3878382161172,0.148000001907349,1.0,26888.867
169,a4cd3e68,Rutsiro,1.0,2019,a season,potato,-1.89968438706259,29.2961728792918,0.0800000056624413,1.0,26166.648
170,fea88d43,Mugonero,1.0,2019,a season,potato,-2.34072073541044,29.3878408685796,0.0979999974370003,1.0,19999.988
171,5191cd75,Rusizi,0.0,2019,b season,potato,-2.45824835445674,28.9901144817118,0.0350000001490116,1.0,10666.659
172,24c9ae54,Gisagara,0.0,2019,b season,potato,-2.48279715799135,29.8162006926149,0.0300000011920929,0.0,3944.4417
173,a475f092,Mugonero,1.0,2020,a season,potato,-2.28625496555359,29.3903873851615,0.0300000011920929,1.0,3944.4417
174,e6b90a2f,Kayonza,0.0,2020,a season,potato,-1.81562609,30.45769268,0.120000004768372,0.0,4999.9971
175,e16bc0fc,Ruhango,0.0,2020,a season,potato,-2.24089666666667,29.6104333333333,0.046000000089407,0.0,2834.5981
176,ed83b15c,Mugonero,1.0,2020,a season,potato,-2.32671004429713,29.3893109505269,0.0100000007078052,1.0,7406.2461
177,303d27e1,Ruhango,0.0,2020,a season,potato,-2.12748666666667,29.6587833333333,0.0120000001043081,0.0,8888.8828
178,0e32c676,Karongi,0.0,2020,a season,potato,-2.2152867,29.5113067,0.0200000014156103,0.0,388.88861
179,8bc46ea8,Ruhango,0.0,2020,a season,potato,-2.2374288,29.75680873,0.140000000596047,0.0,9999.9941
180,12ba1591,Kayonza,0.0,2020,a season,potato,-1.81622855,30.45592793,0.0300000011920929,0.0,2380.9507
181,e9b91ec9,Nyanza,1.0,2020,a season,potato,-2.37266641983162,29.6847538555175,0.0350000001490116,1.0,6261.1069
182,83879ffc,Kayonza,0.0,2020,b season,potato,-1.96884775161743,30.5179710388184,0.123000003397465,0.0,3194.4421
183,527f8b88,Mugonero,1.0,2020,b season,potato,-2.28723168373108,29.3777866363525,0.0100000007078052,1.0,6583.3286
184,1aaf5199,Mugonero,0.0,2020,b season,potato,-2.31157326698303,29.3845634460449,0.0200000014156103,0.0,17888.877
185,cd30dc1c,Bugesera,0.0,2020,b season,potato,-2.21842384338379,30.1250801086426,0.0300000011920929,0.0,1055.5548
186,556be827,Bugesera,0.0,2020,b season,potato,-2.238924741745,30.1328525543213,0.0500000007450581,0.0,6277.7739
187,d99d0b38,Bugesera,0.0,2020,b season,potato,-2.22594571113586,30.1081027984619,0.025000000372529,0.0,1153.3325
188,2add3d70,Gatsibo,0.0,2020,b season,potato,-1.67537844181061,30.3328495025635,0.0700000002980232,0.0,555.55518
189,c421f362,Gatsibo,0.0,2020,b season,potato,-1.79857504367828,30.3690433502197,0.0899999961256981,0.0,6277.7729
190,10c16569,Huye,1.0,2020,b season,potato,-2.49384093284607,29.6060180664062,0.025000000372529,1.0,4974.9966
191,89caa89f,Kamonyi,1.0,2020,b season,potato,-1.97783803939819,29.9104290008545,0.0300000011920929,1.0,8611.1045
192,d2142848,Kamonyi,0.0,2020,b season,potato,-2.01586198806763,29.9912090301514,0.0500000007450581,0.0,4444.4414
