,Unnamed: 0,unique_id,district,pesticide,plot_acres,country,year,season,crop,field_latitude,field_longitude,plot_hectares,compost,pest_disease
106,30582,94e24987,Gisagara,0.0,0.0247128363698721,Rwanda,2016,b season,maize,-2.6374970814371,29.8603941255507,0.0100009450688958,1.0,0.0
107,30600,e951cf93,Rutsiro,0.0,0.0370692536234856,Rwanda,2016,b season,maize,-1.76079662878109,29.3171869270633,0.015001418069005,1.0,0.0
108,30603,5e2d5a78,Rutsiro,0.0,0.123564183712006,Rwanda,2016,b season,maize,-1.78790238056422,29.3244651726244,0.0500047281384468,0.0,0.0
109,30604,7e904444,Rutsiro,0.0,0.0247128363698721,Rwanda,2016,b season,maize,-1.87430730249374,29.3664209067922,0.0100009450688958,1.0,0.0
110,30606,bb6a8697,Rutsiro,0.0,0.0247128363698721,Rwanda,2016,b season,maize,-1.87140240775793,29.3426851055482,0.0100009450688958,1.0,0.0
111,30622,db6a8185,Rutsiro,0.0,0.123564183712006,Rwanda,2016,b season,maize,-1.78063435677976,29.3104316889337,0.0500047281384468,1.0,0.0
112,30659,1c956681,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.79169411557036,29.3073337121787,0.03000283613801,0.0,0.0
113,30666,b391a63d,Rutsiro,1.0,0.123564183712006,Rwanda,2016,b season,maize,-1.75702161121262,29.312562258631,0.0500047281384468,1.0,0.0
114,30680,76f6f16e,Rutsiro,0.0,0.123564183712006,Rwanda,2016,b season,maize,-1.79030478463262,29.3068930099033,0.0500047281384468,1.0,0.0
115,30697,a09c42e8,Rutsiro,0.0,0.0988513454794884,Rwanda,2016,b season,maize,-1.79138280215425,29.3023998083105,0.0400037802755833,1.0,0.0
116,30724,f4c0aa0e,Gatsibo,0.0,0.296554028987885,Rwanda,2016,b season,maize,-1.62492741743212,30.3666455937426,0.12001134455204,1.0,0.0
117,30741,9845e1e5,Rutsiro,0.0,0.0988513454794884,Rwanda,2016,b season,maize,-1.74986373951521,29.3148681394629,0.0400037802755833,0.0,0.0
118,30744,6ad9a8d7,Rutsiro,0.0,0.0163104720413685,Rwanda,2016,b season,maize,-1.75710917286532,29.3132296606858,0.0066006239503622,0.0,0.0
119,30747,7c128798,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.86134478244343,29.3554608620786,0.03000283613801,1.0,0.0
120,30748,d1f77f9e,Rutsiro,1.0,0.0345979705452919,Rwanda,2016,b season,maize,-1.82141156798367,29.3089059947239,0.0140013238415122,1.0,1.0
121,30750,323488c8,Nyamasheke,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-2.44014071600682,29.032720028814,0.03000283613801,1.0,0.0
122,30770,ca20c864,Rutsiro,0.0,0.148277014493942,Rwanda,2016,b season,maize,-1.89585769648611,29.3973938148412,0.0600056722760201,1.0,0.0
123,30774,015e8c22,Rutsiro,0.0,0.0864949300885201,Rwanda,2016,b season,maize,-1.81150808275472,29.3234818236669,0.0350033119320869,1.0,0.0
124,30779,3480403c,Rutsiro,1.0,0.123564183712006,Rwanda,2016,b season,maize,-1.80969470963909,29.3227834385248,0.0500047281384468,1.0,1.0
125,30782,6148da94,Rutsiro,0.0,0.0494256727397442,Rwanda,2016,b season,maize,-1.90654217270707,29.3907251883956,0.0200018901377916,1.0,0.0
126,30788,d3ce519e,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.87125989584692,29.358597001946,0.03000283613801,1.0,0.0
127,30821,b2d2e90d,Nyamasheke,1.0,0.0247128363698721,Rwanda,2016,b season,maize,-2.42661115770631,29.0465085345703,0.0100009450688958,1.0,0.0
